show_id|titre|description|langue|popularite|note|type|directeurs|acteurs|pays|date_ajout|annee_sortie|classement|duree|categories
s1|3%|In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.|pt|64.066|7.4|TV Show||João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi|Brazil|August 14, 2020|2020|TV-MA|4 Seasons|International TV Shows, TV Dramas, TV Sci-Fi & Fantasy
s2|7:19|After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.|es|19.156|6.0|Movie|Jorge Michel Grau|Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato|Mexico|December 23, 2016|2016|TV-MA|93 min|Dramas, International Movies
s3|23:59|When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.|zh|2.912|4.5|Movie|Gilbert Chan|Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim|Singapore|December 20, 2018|2011|R|78 min|Horror Movies, International Movies
