show_id|titre|description|langue|popularite|note|type|directeurs|acteurs|pays|date_ajout|annee_sortie|classement|duree|categories
s2|7:19|After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive.|es|19.156|6.0|Movie|Jorge Michel Grau|Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato|France, Mexico|December 23, 2016|2016|TV-MA|93 min|Dramas, International Movies
s3|23:59|When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp.|zh|2.912|4.5|Movie|Gilbert Chan|Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim|France, Singapore|December 20, 2018|2011|G|78 min|Horror Movies, International Movies
s5613|Simon|With his vivid imagination, Simon the rabbit searches for fun while learning about the importance of responsibility and communication.|en|41.915|6.9|TV Show||Loti Bailey, Hayden Connett, Keith Faulkner, Rudy Greatorex, Luke Haliwell, Jacob Preston, Joanna Ruiz, Alex Starke|France|May 01, 2018|2016|TV-Y|1 Season|Kids' TV
s5614|Simon Amstell: Set Free|Honest, introspective comic Simon Amstell digs deep and delivers a uniquely vulnerable stand-up set on love, ego, intimacy and ayahuasca.|en|1.076|6.1|Movie|Julia Knowles|Simon Amstell|United Kingdom|August 20, 2019|2019|TV-MA|52 min|Stand-Up Comedy
s5615|Simon Killer|Young and heartbroken, a New Yorker travels to Paris to escape his romantic woes but is soon drawn into another all-consuming attraction.|en|3.904|6.1|Movie|Antonio Campos|Brady Corbet, Mati Diop, Constance Rousseau, Lila Salet, Solo, Michaël Abiteboul, Nicolas Ronchi, Étienne Rotha Moeng|United States, France|August 13, 2020|2012|TV-MA|105 min|Dramas, Independent Movies, Thrillers
s5616|Simplemente Manu NNa|Eclectic stand-up comic Manu NNa relays everyday tales about the struggles of being gay in Mexico and shares his love of telenovelas and mezcal.|en|0.6|4.7|Movie|Jan Suter, Raúl Campos|Manu NNa|Mexico|May 05, 2017|2017|TV-MA|72 min|Stand-Up Comedy
